deployment_id,regime,flag_a,flag_b,demand,module_a_output,module_b_output,queue_depth,shared_resource_pressure,p95_latency_ms,included
dep-00-039,00,0,0,56.323101436,56.641737630,7.562704397,0.000000000,0.919709363,39.835897063,1
dep-00-040,00,0,0,69.321531493,68.755197991,8.322560500,0.000000000,0.950354733,40.566377150,1
dep-00-041,00,0,0,83.989578239,78.920060791,9.189987689,10.752326145,0.963029449,41.944227260,1
dep-00-042,00,0,0,53.456130534,53.824643496,7.432858995,0.000000000,0.814927284,36.972332354,1
dep-00-043,00,0,0,71.524958898,74.072498468,8.744072568,0.000000000,0.810735983,35.706634027,1
dep-00-044,00,0,0,70.295324573,69.064137663,8.522956015,0.000000000,0.841086020,37.143496743,1
dep-00-045,00,0,0,41.622452615,40.829745735,6.728587181,0.000000000,0.668426999,36.488763636,1
dep-00-046,00,0,0,78.796475587,76.828552368,8.422247412,4.501753013,0.848979272,39.955861796,1
dep-00-047,00,0,0,72.613239701,72.727506389,8.205780167,0.000000000,0.916791351,38.012205003,1
dep-10-000,10,1,0,70.072537978,76.381039147,8.200877188,0.000000000,0.808158344,38.596899369,1
dep-10-001,10,1,0,62.240564666,68.136329773,7.617474060,0.000000000,0.837061248,37.581146523,1
dep-10-002,10,1,0,64.010677181,68.488954044,7.903130770,0.000000000,0.840504344,37.903144110,1
dep-10-003,10,1,0,86.698342536,97.132698449,9.053481870,9.794254877,0.986293813,41.632459447,1
dep-10-004,10,1,0,67.976415626,79.643711278,8.615116295,0.000000000,0.843082552,36.428853990,1
dep-10-005,10,1,0,80.570139222,89.727247152,8.827388815,0.000000000,0.926394546,38.018513043,1
dep-10-006,10,1,0,61.991270772,66.897901504,7.962437478,0.000000000,0.710787704,34.633788172,1
dep-10-007,10,1,0,92.657049555,99.979093013,9.863635663,8.570065209,1.040087031,41.313697533,1
dep-10-008,10,1,0,77.390266573,86.340507402,9.156782118,0.000000000,0.985480888,41.378024815,1
dep-10-009,10,1,0,63.522808390,68.814375990,7.675161657,0.000000000,0.796925392,34.507054413,1
dep-10-010,10,1,0,66.374611960,74.999105013,8.420625513,0.000000000,0.854339024,36.521637668,1
dep-10-011,10,1,0,59.929048474,67.687764122,7.465762425,0.000000000,0.896760766,41.839532316,1
dep-10-012,10,1,0,40.963541054,43.458129347,6.417170048,0.000000000,0.613311342,35.904185227,1
dep-10-013,10,1,0,54.836654363,58.196798928,7.421064703,0.000000000,0.843496639,38.417919063,1
dep-10-014,10,1,0,78.614784134,86.047881482,8.876186923,0.000000000,0.989916966,37.554103667,1
dep-10-015,10,1,0,96.985666538,103.365669874,9.986627949,11.104938911,1.160021805,44.808270411,1
dep-10-016,10,1,0,73.392981607,81.137205311,9.297736264,0.000000000,0.800567179,34.605091917,1
dep-10-017,10,1,0,60.336568610,68.055092981,8.098884722,0.000000000,0.767821933,36.443036352,1
dep-10-018,10,1,0,55.255416177,59.080630857,7.150105629,0.000000000,0.837115745,38.623513108,1
dep-10-019,10,1,0,41.673505854,47.021999148,6.670454511,0.000000000,0.687833874,35.794426601,1
dep-10-020,10,1,0,66.937764137,72.567699955,8.456983915,0.000000000,0.876078485,37.869053261,1
dep-10-021,10,1,0,95.490932205,101.845584602,9.896708511,14.049325054,0.895890550,42.105050517,1
dep-10-022,10,1,0,46.978084207,51.964750650,7.112776738,0.000000000,0.752076960,35.751947561,1
dep-10-023,10,1,0,72.984375329,80.049065202,8.779162618,0.000000000,0.854210261,37.599219199,1
dep-10-024,10,1,0,58.635015422,63.863188049,7.568552330,0.000000000,0.806083123,38.506560067,1
dep-10-025,10,1,0,61.095395172,63.328393469,7.770517046,0.000000000,0.840256160,37.181098966,1
dep-10-026,10,1,0,83.343240554,93.516388910,9.185299417,1.759849536,1.023665954,41.009094389,1
dep-10-027,10,1,0,79.854039704,90.353609414,8.717189270,0.000000000,0.939946267,38.279107578,1
dep-10-028,10,1,0,46.313582260,51.766329432,6.762175512,0.000000000,0.696398971,37.228208386,1
dep-10-029,10,1,0,69.861427198,76.693543247,8.195331224,0.000000000,0.869495629,39.858881215,1
dep-10-030,10,1,0,67.567806214,75.702189864,8.706852400,0.000000000,0.837423707,36.343383699,1
dep-10-031,10,1,0,82.400005165,92.065594750,9.355060204,7.508469959,0.932002193,40.437233348,1
dep-10-032,10,1,0,94.782957159,102.214883108,9.965676803,15.559681977,1.115211626,46.082073370,1
dep-10-033,10,1,0,72.148714561,79.216652246,8.241395127,0.000000000,0.843481525,37.251565225,1
dep-10-034,10,1,0,63.978724880,69.153049920,7.982538408,0.000000000,0.829337074,37.742335289,1
dep-10-035,10,1,0,60.821353418,65.964002379,7.631236614,0.000000000,0.875739634,37.383442754,1
dep-10-036,10,1,0,68.460423171,77.557371947,8.518250509,0.000000000,0.857389248,38.372872941,1
dep-10-037,10,1,0,63.372275209,68.043936324,8.279552840,0.000000000,0.872020254,40.074495649,1
dep-10-038,10,1,0,59.489057504,64.760209936,8.077766676,0.000000000,0.717896457,34.634531315,1
dep-10-039,10,1,0,101.158078863,111.600720655,9.830982564,15.145956131,1.061404578,46.069663302,1
dep-10-040,10,1,0,56.200809903,58.913810554,7.470477294,0.000000000,0.727829681,33.768301778,1
dep-10-041,10,1,0,83.056342403,88.459164156,9.365797265,0.000000000,0.972734571,38.218824308,1
dep-10-042,10,1,0,74.579844723,87.084910821,9.018591292,0.000000000,0.841037938,38.052638113,1
dep-10-043,10,1,0,85.834221014,94.981921954,9.135115566,1.716845992,0.945195679,39.437195616,1
dep-10-044,10,1,0,102.435849671,115.911703547,10.244688940,21.633527410,1.056384999,48.232557388,1
dep-10-045,10,1,0,74.006241735,82.249992942,8.624301689,0.000000000,0.849882488,38.067766414,1
dep-10-046,10,1,0,64.631718493,69.999125166,8.455817137,0.000000000,0.855715912,36.691732656,1
dep-10-047,10,1,0,69.270753286,71.587294270,8.620997267,0.000000000,0.840384865,38.635511652,1
dep-01-000,01,0,1,88.059706660,84.371123661,8.789367933,16.505834367,0.858041761,42.903977744,1
dep-01-001,01,0,1,57.281814459,56.948138006,6.917008103,0.000000000,0.800417756,37.841303898,1
dep-01-002,01,0,1,50.889971638,51.717417834,6.811436832,0.000000000,0.710727897,35.805643445,1
dep-01-003,01,0,1,82.151698182,84.674433502,8.446006627,11.478819678,0.965681974,43.987439874,1
dep-01-004,01,0,1,54.435748409,57.663202350,6.909473388,0.000000000,0.752261861,36.673617347,1
dep-01-005,01,0,1,79.949831473,80.094330042,8.496309588,4.365406277,0.867847332,37.195560160,1
dep-01-006,01,0,1,48.441301412,50.505898103,6.548443954,0.000000000,0.715398781,34.964239023,1
dep-01-007,01,0,1,39.744184858,39.807676561,5.431220223,0.000000000,0.694622674,37.087275924,1
dep-01-008,01,0,1,56.531284446,56.815302129,6.843917555,0.000000000,0.875357816,35.018415554,1
dep-01-009,01,0,1,65.512073817,63.772527518,7.887154005,0.000000000,0.890092356,37.456081960,1
dep-01-010,01,0,1,85.019228260,82.333405327,8.525572127,10.404618348,0.960975406,44.636227123,1
dep-01-011,01,0,1,88.786592007,89.222891377,8.525719499,12.462274854,0.973350245,43.571333051,1
dep-01-012,01,0,1,92.939877262,93.258823209,8.663886953,18.535367980,0.987137595,46.480658561,1
dep-01-013,01,0,1,53.722144062,54.876462200,6.800541009,0.000000000,0.677551498,35.338032821,1
dep-01-014,01,0,1,54.489039405,55.530084479,6.919939706,0.000000000,0.810278795,35.215939410,1
dep-01-015,01,0,1,62.747958517,61.542404387,7.662317468,0.000000000,0.820430472,38.277147968,1
dep-01-016,01,0,1,46.280625036,46.750371638,6.386482645,0.000000000,0.753925751,37.368297852,1
dep-01-017,01,0,1,77.021918994,78.801007153,8.246989585,6.374271134,0.899290492,38.625597432,1
dep-01-018,01,0,1,89.309918924,87.352197399,8.750423749,16.655387019,0.926435728,44.903157170,1
dep-01-019,01,0,1,81.713440433,76.782447540,8.159897356,7.379259871,1.024450584,41.868672537,1
dep-01-020,01,0,1,91.633201309,91.963347811,8.633544681,17.444855205,1.099162552,48.111682953,1
dep-01-021,01,0,1,46.100974316,43.471836491,5.986177007,0.000000000,0.763039107,36.046513275,1
dep-01-022,01,0,1,74.043107858,75.764374267,8.083230636,0.000000000,0.790777031,36.897318219,1
dep-01-023,01,0,1,40.563542356,41.179865634,6.019236491,0.000000000,0.718399499,35.582313782,1
dep-01-024,01,0,1,86.551297866,85.566759590,8.527409862,12.612717739,1.046339842,44.374061340,1
dep-01-025,01,0,1,67.211220223,66.104147741,7.432581097,0.000000000,0.847601618,37.119087664,1
dep-01-026,01,0,1,64.459267151,61.389207297,7.429318230,0.000000000,0.748235914,37.568922516,1
dep-01-027,01,0,1,70.288957895,68.168272511,7.551472922,0.000000000,0.775726669,36.303859691,1
dep-01-028,01,0,1,56.499723338,54.978158197,7.073909470,0.000000000,0.887489249,36.532004720,1
dep-01-029,01,0,1,80.156508696,78.561911187,8.354847630,8.289874634,0.939653423,40.035747022,1
dep-01-030,01,0,1,72.870379264,74.986844363,8.173412056,0.194670764,0.972726068,38.534559214,1
dep-01-031,01,0,1,82.650383217,85.221778247,8.717655071,11.919303524,0.985866109,45.116128957,1
dep-01-032,01,0,1,82.694551433,82.735763786,8.064307320,8.814319879,0.884603550,39.278436702,1
dep-01-033,01,0,1,90.319324121,90.292348694,8.930994230,12.135289624,0.953368465,42.366031988,1
dep-01-034,01,0,1,71.483550904,73.858402659,8.035557716,0.000000000,0.852629466,37.120125272,1
dep-01-035,01,0,1,68.631513716,69.264535434,7.860020261,0.000000000,0.891973041,38.232672869,1
dep-01-036,01,0,1,72.163340759,71.475998964,7.884750775,0.000000000,0.910114566,36.925053819,1
dep-01-037,01,0,1,62.888219504,65.116296669,7.343581307,0.000000000,0.823970501,38.547391510,1
dep-01-038,01,0,1,66.638835415,64.813789276,7.618334815,0.000000000,0.896990098,38.472536501,1
dep-01-039,01,0,1,76.739147356,78.279969393,7.794109294,2.630385461,0.876928619,40.555210855,1
dep-01-040,01,0,1,79.146614399,77.854076672,8.114183666,5.047274711,0.877820900,39.735189702,1
dep-01-041,01,0,1,42.568882186,42.137904165,5.856272002,0.000000000,0.721630754,35.661553873,1
dep-01-042,01,0,1,62.733683750,64.423406055,7.578931871,0.000000000,0.765392788,36.251915782,1
dep-01-043,01,0,1,81.426813575,80.764800641,8.047039205,7.653925222,0.886540265,39.994736987,1
dep-01-044,01,0,1,37.562358857,32.960576598,5.411731014,0.000000000,0.699948330,35.216105674,1
dep-01-045,01,0,1,64.575414855,63.095920581,7.307009555,0.000000000,0.890310464,37.445673973,1
dep-01-046,01,0,1,83.618136414,83.061302687,8.592997375,6.783346188,1.031719770,39.195576295,1
dep-01-047,01,0,1,92.200805285,93.595688330,9.109659865,15.794800797,0.961641067,42.523217767,1
dep-11-000,11,1,1,68.747480883,75.611971910,7.769783711,0.000000000,0.830564735,37.070137692,1
dep-11-001,11,1,1,41.413376888,45.156537550,5.879425421,0.000000000,0.789234506,36.343527438,1
dep-11-002,11,1,1,75.459422066,82.757262226,8.106021736,0.000000000,0.882954265,38.289170941,1
dep-11-003,11,1,1,76.470814404,82.198356269,8.211677309,0.000000000,0.883365590,37.525687828,1
dep-11-004,11,1,1,74.100692375,81.411390047,7.875877153,0.000000000,0.986169465,39.968348718,1
dep-11-005,11,1,1,71.260627898,81.357990920,7.757571564,0.000000000,0.904680347,40.287378165,1
dep-11-006,11,1,1,68.557307934,73.377826399,7.850150501,0.000000000,0.848929260,37.641572711,1
dep-11-007,11,1,1,74.601068339,81.838352881,8.112285051,0.000000000,0.879324295,35.968859319,1
dep-11-008,11,1,1,76.993753676,84.748409147,7.714740886,0.000000000,0.963430612,38.184767488,1
dep-11-009,11,1,1,76.615486448,83.483281171,7.920514640,0.000000000,0.919990579,38.087873467,1
dep-11-010,11,1,1,68.909486050,75.504882884,7.874951066,0.000000000,0.839959366,39.443798582,1
dep-11-011,11,1,1,38.279761327,45.715291043,5.536725117,0.000000000,0.636899052,36.119926539,1
dep-11-012,11,1,1,78.522313562,86.443160174,8.303524733,0.000000000,1.009757453,39.361941374,1
dep-11-013,11,1,1,51.128656359,49.904463242,7.016359626,0.000000000,0.853440715,37.022293755,1
dep-11-014,11,1,1,73.031956706,79.793206944,7.592414810,0.000000000,0.980427879,39.663930935,1
dep-11-015,11,1,1,57.243471821,62.475750693,6.915588847,0.000000000,0.703129338,36.660028139,1
dep-11-016,11,1,1,77.424874127,82.866690307,7.871271320,0.000000000,0.990734653,37.496939272,1
dep-11-017,11,1,1,106.342761182,117.982198983,9.665694197,22.715335326,1.050201342,47.840818102,1
dep-11-018,11,1,1,62.432154698,70.574047322,7.526604952,0.000000000,0.868905084,32.671226509,1
dep-11-019,11,1,1,76.277138289,83.515559501,8.401932417,0.000000000,0.968763626,39.651073076,1
dep-11-020,11,1,1,47.366538817,51.146023904,6.602742900,0.000000000,0.667682091,35.250966364,1
dep-11-021,11,1,1,94.030086193,103.898122552,8.962143262,14.172938134,0.965018942,44.605081969,1
dep-11-022,11,1,1,74.886821354,81.140132820,7.889751231,0.000000000,0.915685054,38.049150284,1
dep-11-023,11,1,1,52.417924546,55.338816607,6.804973095,0.000000000,0.791268886,36.888652514,1
dep-11-024,11,1,1,69.078844773,80.190698424,7.827840800,0.000000000,0.878726146,36.214311481,1
dep-11-025,11,1,1,66.531186679,70.652131285,7.616751178,0.000000000,0.784189271,35.270480731,1
dep-11-026,11,1,1,48.288821922,55.507505403,6.575216072,0.000000000,0.757230654,38.793026918,1
dep-11-027,11,1,1,57.150782975,63.700724585,6.723125478,0.000000000,0.729725094,38.824780719,1
dep-11-028,11,1,1,75.681097377,81.050858213,8.098303511,0.000000000,0.854470243,40.047684421,1
dep-11-029,11,1,1,67.783735566,75.427355692,7.713356515,0.000000000,0.775213352,37.303431972,1
dep-11-030,11,1,1,52.484815457,56.111426558,6.252074068,0.000000000,0.792661352,37.423061720,1
dep-11-031,11,1,1,91.025576312,100.791277288,8.952271098,10.806896123,1.109044909,43.185022586,1
dep-11-032,11,1,1,92.150666099,100.068833214,9.125480878,8.605106390,1.000984681,44.244437072,1
dep-11-033,11,1,1,65.308938669,76.506972403,7.850000603,0.000000000,0.874020388,37.156245890,1
dep-11-034,11,1,1,49.553382083,55.421117634,6.635795422,0.000000000,0.716418189,36.938190634,1
dep-11-035,11,1,1,50.178380693,54.004564141,6.457955465,0.000000000,0.773974536,35.807670770,1
dep-11-036,11,1,1,92.237683762,100.573646041,8.735811999,11.084244072,1.052512589,42.905023834,1
dep-11-037,11,1,1,60.011741154,65.568326644,7.084646141,0.000000000,0.790420105,36.313988485,1
dep-11-038,11,1,1,82.062566333,90.775582805,8.307084794,0.744735196,1.019874925,40.904014458,1
dep-11-039,11,1,1,65.827058922,73.509260430,7.474651250,0.000000000,0.861345317,36.684004971,1
dep-11-040,11,1,1,88.773320171,95.184724736,8.691323737,7.771201905,0.861445399,41.029551616,1
dep-11-041,11,1,1,77.816199174,84.289767765,8.444148153,0.000000000,0.939359816,37.964874667,1
dep-11-042,11,1,1,74.207127109,81.718514366,7.928021209,0.000000000,0.949602202,40.206187283,1
dep-11-043,11,1,1,71.670668984,75.256065433,7.811701393,0.000000000,0.906758345,35.781257895,1
dep-11-044,11,1,1,63.875185092,68.009235371,6.962701952,0.000000000,0.783193397,36.577670689,1
dep-11-045,11,1,1,81.006856950,90.442692390,8.522169714,1.043312467,0.951966871,38.077787299,1
dep-11-046,11,1,1,74.241794383,79.178777436,8.187069306,0.000000000,1.013977628,39.319376683,1
dep-11-047,11,1,1,61.062041842,69.500646546,7.411260827,0.000000000,0.766849811,37.495947611,1
